n;lat; lon
0;59.564019;30.118965
1;59.564019;30.118965
2;59.563842;30.119546
3;59.563842;30.119546
4;59.563614;30.120286
5;59.563614;30.120286
6;59.563505;30.120497
7;59.563345;30.120683
8;59.563345;30.120682
9;59.56311;30.120951
10;59.56311;30.120951
11;59.563161;30.120895
12;59.562883;30.119998
13;59.562883;30.119998
14;59.562722;30.119483
15;59.562514;30.119007
16;59.562514;30.119007
17;59.562362;30.118658
18;59.562028;30.118249
19;59.562028;30.118249
20;59.561549;30.117635
21;59.561549;30.117635
22;59.561523;30.117598
23;59.56158;30.117339
24;59.561792;30.116902
25;59.561792;30.116902
26;59.561856;30.116788
27;59.562011;30.116602
28;59.562175;30.116321
29;59.562175;30.116321
30;59.562368;30.11599
31;59.562435;30.116013
32;59.562435;30.116013
33;59.562796;30.116137
34;59.56294;30.11605
35;59.562967;30.116094
36;59.562967;30.116094
37;59.563461;30.116896
38;59.563461;30.116896
39;59.563979;30.117744
40;59.563979;30.117744
41;59.564249;30.118186
42;59.564237;30.118229
43;59.564237;30.118229
44;59.564249;30.118186
45;59.564606;30.118713
46;59.564606;30.118714
47;59.564676;30.118807
48;59.565005;30.11908
49;59.565005;30.11908
50;59.565481;30.119461
51;59.565481;30.119461
52;59.565681;30.119618
53;59.565671;30.119678
54;59.565671;30.119678
55;59.565555;30.120359
56;59.565555;30.120359
57;59.565401;30.12126
58;59.565401;30.12126
59;59.56532;30.121733
60;59.565277;30.1217
61;59.565277;30.1217
62;59.564892;30.12141
63;59.564892;30.121409
64;59.564518;30.121127
65;59.564518;30.121127
66;59.563674;30.120489
67;59.563674;30.120489
68;59.563563;30.120406
69;59.563623;30.120265
70;59.564249;30.118186
71;59.564676;30.118807
72;59.565681;30.119618
73;59.56532;30.121733
74;59.564577;30.121171
75;59.564543;30.121343
76;59.564543;30.121343
77;59.564344;30.122356
78;59.564324;30.122344
79;59.564324;30.122344
80;59.564344;30.122356
81;59.564112;30.123558
82;59.564112;30.123558
83;59.564098;30.123633
84;59.562857;30.122674
85;59.562857;30.122674
86;59.562374;30.122301
87;59.562374;30.122301
88;59.562088;30.122081
89;59.562112;30.122055
90;59.562112;30.122054
91;59.562728;30.121374
92;59.562728;30.121374
93;59.563126;30.120934
94;59.563126;30.120934
95;59.56178;30.122399
96;59.56178;30.122399
97;59.561221;30.123002
98;59.561221;30.123002
99;59.560572;30.123701
100;59.560572;30.123701
101;59.560141;30.124167
102;59.560141;30.124166
103;59.559765;30.124573
104;59.559765;30.124573
105;59.559763;30.124575
106;59.559474;30.123459
107;59.559474;30.123459
108;59.559326;30.122887
109;59.559326;30.122887
110;59.559897;30.12508
111;59.559897;30.12508
112;59.560298;30.126593
113;59.560298;30.126593
114;59.56058;30.127668
115;59.56058;30.127668
116;59.560575;30.127651
117;59.561141;30.127064
118;59.561141;30.127064
119;59.561804;30.126376
120;59.561804;30.126376
121;59.56227;30.125893
122;59.56227;30.125893
123;59.562665;30.125483
124;59.562701;30.125504
125;59.562701;30.125504
126;59.563241;30.125826
127;59.563241;30.125826
128;59.563655;30.126074
129;59.563655;30.126074
130;59.563613;30.126044
131;59.563828;30.124992
132;59.563828;30.124992
133;59.564054;30.123851
134;59.564054;30.123851
135;59.563436;30.126971
136;59.563436;30.126971
137;59.563157;30.128429
138;59.563157;30.128429
139;59.562939;30.129569
140;59.562939;30.129569
141;59.562819;30.130193
142;59.562819;30.130193
143;59.562832;30.130128
144;59.56197;30.129482
145;59.56197;30.129482
146;59.56087;30.128663
147;59.560863;30.128702
148;59.560863;30.128702
149;59.56087;30.128663
150;59.560565;30.127607
151;59.560565;30.127607
152;59.56087;30.128663
153;59.560756;30.129291
154;59.560756;30.129291
155;59.560513;30.130654
156;59.560513;30.130654
157;59.560423;30.131167
158;59.560423;30.131167
159;59.560427;30.13114
160;59.559604;30.130517
161;59.559604;30.130517
162;59.559032;30.130085
163;59.559032;30.130085
164;59.558633;30.129783
165;59.5586;30.129818
166;59.5586;30.129818
167;59.56048;30.127755
168;59.56048;30.127755
169;59.559564;30.128759
170;59.559564;30.128759
171;59.557893;30.130568
172;59.557893;30.130569
173;59.557915;30.130545
174;59.557611;30.129493
175;59.557611;30.129493
176;59.557332;30.128526
177;59.557303;30.128557
178;59.557303;30.128557
179;59.557332;30.128526
180;59.557032;30.127487
181;59.557031;30.127488
182;59.557031;30.127488
183;59.557861;30.126603
184;59.557861;30.126603
185;59.558641;30.125771
186;59.558641;30.125771
187;59.559637;30.124709
188;59.559637;30.124709
189;59.55884;30.12556
190;59.55884;30.125559
191;59.557565;30.126919
192;59.557565;30.126919
193;59.556299;30.128251
194;59.556299;30.128251
195;59.555764;30.128807
196;59.555764;30.128807
197;59.55527;30.129247
198;59.55527;30.129247
199;59.554375;30.129975
200;59.554369;30.130046
201;59.554369;30.130046
202;59.554375;30.129975
203;59.553983;30.13029
204;59.553983;30.13029
205;59.553736;30.130489
206;59.553464;30.130638
207;59.553464;30.130638
208;59.552731;30.130714
209;59.552731;30.130714
210;59.552171;30.130749
211;59.552003;30.130834
212;59.552003;30.130834
213;59.552171;30.130749
214;59.553072;30.130692
