"";"Раздел 1, Дорожно-транспортные происшествия и пострадавшие по дням недели, времени суток и категориям пострадавших, апрель 2019";"";"";"";"";"";"";"";
"";"Наименование показателя";"№ строки";"Ленинградская область";"";"";"";"";"";
"";"Наименование показателя";"№ строки";"ДТП";"± % АППГ";"погибло";"± % АППГ";"ранено";"± % АППГ";
"";"А";"Б";"1,0";"2,0";"3,0";"4,0";"5,0";"6,0";
"";"Дорожно-транспортные происшествия";"1,0";"161,0";"-5,8";"13,0";"-61,8";"211,0";"-7,5";
"";"--из них--";"";"";"";"";"";"";"";
"";"--по дням недели--";"";"";"";"";"";"";"";
"";"произошедшие по понедельникам";"2,0";"27,0";"3,8";"3,0";"-62,5";"31,0";"-6,1";
"";"произошедшие по вторникам";"3,0";"26,0";"30,0";"2,0";"-60,0";"35,0";"105,9";
"";"произошедшие по средам";"4,0";"16,0";"-30,4";"2,0";"-60,0";"18,0";"-41,9";
"";"произошедшие по четвергам";"5,0";"21,0";"23,5";"2,0";"-33,3";"23,0";"15,0";
"";"произошедшие по пятницам";"6,0";"27,0";"170,0";"0,0";"-100,0";"38,0";"123,5";
"";"произошедшие по субботам";"7,0";"28,0";"-33,3";"1,0";"-90,0";"43,0";"-25,9";
"";"произошедшие по воскресеньям";"8,0";"16,0";"-51,5";"3,0";"стаб,";"23,0";"-55,8";
"";"--по времени суток--";"";"";"";"";"";"";"";
"";"произошедшие с 00 по 01 часов
";"9,0";"3,0";"-50,0";"1,0";"стаб,";"4,0";"-69,2";
"";"произошедшие с 01 по 02 часов";"10,0";"2,0";"стаб,";"0,0";"-100,0";"2,0";"-75,0";
"";"произошедшие с 02 по 03 часов
";"11,0";"2,0";"стаб,";"0,0";"-100,0";"4,0";"33,3";
"";"произошедшие с 03 по 04 часов
";"12,0";"2,0";"стаб,";"0,0";"-100,0";"3,0";"50,0";
"";"произошедшие с 04 по 05 часов
";"13,0";"2,0";"100,0";"0,0";"-100,0";"2,0";"100,0";
"";"произошедшие с 05 по 06 часов
";"14,0";"1,0";"-50,0";"0,0";"-100,0";"2,0";"-33,3";
"";"произошедшие с 06 по 07 часов
";"15,0";"1,0";"-50,0";"0,0";"-100,0";"1,0";"-85,7";
"";"произошедшие с 07 по 08 часов
";"16,0";"4,0";"-50,0";"0,0";"-100,0";"7,0";"-12,5";
"";"произошедшие с 08 по 09 часов
";"17,0";"4,0";"-33,3";"1,0";"стаб,";"3,0";"-50,0";
"";"произошедшие с 09 по 10 часов
";"18,0";"4,0";"-20,0";"0,0";"-100,0";"7,0";"-12,5";
"";"произошедшие с 10 по 11 часов
";"19,0";"8,0";"-20,0";"0,0";"-100,0";"15,0";"15,4";
"";"произошедшие с 11 по 12 часов
";"20,0";"9,0";"-25,0";"1,0";"-75,0";"8,0";"-20,0";
"";"произошедшие с 12 по 13 часов
";"21,0";"6,0";"-62,5";"2,0";"100,0";"7,0";"-70,8";
"";"произошедшие с 13 по 14 часов
";"22,0";"8,0";"166,7";"0,0";"-100,0";"10,0";"66,7";
"";"произошедшие с 14 по 15 часов
";"23,0";"9,0";"-40,0";"0,0";"-100,0";"19,0";"-5,0";
"";"произошедшие с 15 по 16 часов
";"24,0";"12,0";"33,3";"1,0";"-50,0";"17,0";"70,0";
"";"произошедшие с 16 по 17 часов
";"25,0";"13,0";"160,0";"0,0";"-100,0";"15,0";"50,0";
"";"произошедшие с 17 по 18 часов
";"26,0";"11,0";"22,2";"2,0";"100,0";"13,0";"стаб,";
"";"произошедшие с 18 по 19 часов
";"27,0";"14,0";"7,7";"0,0";"-100,0";"19,0";"35,7";
"";"произошедшие с 19 по 20 часов
";"28,0";"16,0";"45,5";"1,0";"стаб,";"17,0";"41,7";
"";"произошедшие с 20 по 21 часов
";"29,0";"9,0";"28,6";"1,0";"-66,7";"8,0";"-11,1";
"";"произошедшие с 21 по 22 часов
";"30,0";"12,0";"100,0";"1,0";"стаб,";"14,0";"27,3";
"";"произошедшие с 22 по 23 часов
";"31,0";"7,0";"-22,2";"1,0";"-50,0";"12,0";"33,3";
"";"произошедшие с 23 по 24 часов
";"32,0";"2,0";"-81,8";"1,0";"-66,7";"2,0";"-77,8";
"";"произошедшие в темное время суток	
";"33,0";"39,0";"-7,1";"6,0";"-45,5";"50,0";"-19,4";
"";"--с пострадавшими--";"";"";"";"";"";"";"";
"";"с пострадавшими водителями ( лицами управляющими механическими транспортными средствами)";"34,0";"77,0";"-17,2";"3,0";"-80,0";"87,0";"-11,2";
"";"с пострадавшими велосипедистами
";"35,0";"6,0";"-33,3";"0,0";"-100,0";"6,0";"-25,0";
"";"с пострадавшими пассажирами
";"36,0";"54,0";"-10,0";"1,0";"-90,0";"74,0";"-12,9";
"";"с пострадавшими пешеходами
";"37,0";"51,0";"13,3";"9,0";"12,5";"43,0";"16,2";
"";"с пострадавшими иными участниками движения
";"38,0";"1,0";"100,0";"0,0";"-100,0";"1,0";"100,0";
"";"с особо тяжкими последствиями	
";"39,0";"0,0";"-100,0";"0,0";"-100,0";"0,0";"-100,0";
;;;;;;;;
;;;;;;;;
;;;;;;;;
